xlinkID	xlink_1	xlink_2	xlink_3
317	317	45685	0
318	18764	33730	35426
319	36542	68610	74985
320	53245	53491	80649
321	321	68087	0
322	246	11331	37084
323	15189	20059	53435
324	22671	67926	71312
325	33973	55710	76402
326	48232	51062	71256
327	22862	57189	0
328	22919	63388	65245
329	555	8736	24302
330	15407	31104	79003
331	27350	59902	76131
332	11052	29714	58854
333	27842	52729	58409
334	6180	55205	59483
335	3312	55314	79994
336	4160	16512	32749
337	19401	38404	56886
338	15518	16885	58059
339	32238	56570	69217
340	38465	46502	50008
341	1736	3447	66583
342	16141	27364	38450
343	16756	20583	69078
344	4547	7137	71544
345	345	18850	0
346	43965	45833	78451
347	207	947	22048
348	4999	43480	50497
349	786	5758	6492
350	23226	29741	39693
351	1181	24612	0
352	37731	68741	0
353	17317	25399	44867
354	37308	49175	75148
355	9114	25453	33853
356	43411	68957	78461
357	2696	38155	52839
358	358	36812	0
359	7530	40339	49846
360	23964	30808	57754
361	2712	45465	49775
362	29332	50307	80200
363	35663	57910	59450
364	516	46229	48033
365	365	2872	0
366	16527	21788	79497
367	26780	35776	51084
368	4478	8595	14090
369	10342	28768	57259
370	14581	32707	35822
371	792	62051	77441
372	15894	23237	58733
373	9643	34240	73472
374	39583	65189	75540
375	10279	16279	30829
376	10826	38996	61817
377	42095	45531	55580
378	21269	46140	47889
379	17109	48936	72296
380	17209	67006	70911
381	26693	47143	58357
382	13943	32385	80371
383	34386	41428	71147
384	9464	25109	70946
385	7069	7188	67236
386	12420	35442	76218
387	32647	74934	75240
388	50292	54775	67793
389	3479	52807	76719
390	3593	60637	73867
391	391	34256	0
392	44962	68491	0
393	27722	68717	78620
394	19830	20505	58738
395	21891	51663	66571
396	17115	24604	37752
397	42292	50896	72930
398	8247	71877	74118
399	17418	29206	32162
400	18937	50120	64501
401	38416	69768	0
402	5303	26248	53364
403	3029	5366	44240
404	12186	24127	37491
405	5237	30145	47972
406	19611	38394	78024
407	21715	26975	36345
408	32373	58486	70123
409	46039	60489	74914
410	16553	17013	26183
411	6334	23560	36955
412	4398	8771	9573
413	12048	20359	75575
414	24984	35445	43929
415	43151	51481	77458
416	11200	44353	69773
417	417	59036	0
418	12252	27973	48851
419	419	13630	0
420	29703	49189	66516
421	31039	58776	78710
422	14561	35512	0
423	31231	36431	74517
424	20185	25131	62433
425	4099	34434	70845
426	56645	58183	67371
427	7260	15126	75678
428	8755	22176	71100
429	3921	63007	67398
430	62117	62999	77909
431	11155	42361	78378
432	21837	28528	32670
433	45945	60617	71431
434	57077	74536	0
435	435	44125	0
436	1831	54882	73833
437	19220	46719	69803
438	17336	55710	80049
439	1594	57884	0
440	25076	44676	79457
441	48706	57917	76324
442	10536	26449	80181
443	33033	72234	78256
444	6802	21582	39468
445	19681	60649	74453
446	33676	66157	79638
447	7603	17167	56768
448	12874	21989	67742
449	22483	38017	76649
450	28779	49286	53032
451	33391	38205	60909
452	51446	58425	70887
453	8841	35067	57022
454	22245	25369	34489
455	33704	68168	74125
456	10645	14421	75887
457	5402	27409	61754
458	6487	13202	32981
459	8532	60149	79304
460	3177	53516	66304
461	4022	42512	49083
462	4625	40692	49597
463	6214	33412	77292
464	2538	20949	53954
465	13176	47416	55118
466	26365	50874	57538
467	42881	48483	60407
468	15497	30937	51280
469	28233	61696	64903
470	28097	32608	70661
471	835	54130	55595
472	17517	30918	79372
473	5058	39501	57584
474	474	75386	0
475	475	9329	0
476	919	12445	50926
477	48909	54455	68918
478	19601	51008	0
479	21198	35961	56095
480	54565	58868	60069
