xlinkID	xlink_1	xlink_2	xlink_3	xlink_4
8375	12242	8375	8375	15655
12242	8375	4805	4009	3490
12530	6911	8952	14735	1970
6911	12530	11753	3645	804
13088	9697	69	13431	11749
9697	13088	3956	1907	10419
8897	13375	12778	14125	12496
13375	8897	11486	302	11074
7641	9883	15863	15863	0
5762	2368	2368	11273	8620
2368	5762	2810	3757	5762
4231	1912	11916	8399	11243
1912	4231	10534	6219	5046
1683	639	12654	1877	4017
639	1683	639	639	7924
1876	16049	6793	9334	1994
12188	11634	6055	5791	7452
11634	12188	10062	14523	4529
178	11772	5576	10610	14011
11772	178	11772	11772	9983
15986	1359	14263	14808	9493
1359	15986	6600	12260	1663
5895	15152	13477	4	416
15152	5895	100	9537	14188
9274	10064	8394	4122	4502
10064	9274	15284	15344	4502
2676	9179	13161	10074	15814
