ID X Y Z
648 65.241976 44.669295 77.366682
649 65.605517 44.702231 88.875332
650 65.629793 44.968888 99.758566
651 64.668679 54.874205 99.453543
652 64.709815 54.417798 10.767904
653 65.151706 55.424995 21.695268
654 64.641617 55.159910 33.086948
655 64.728148 55.092040 44.801108
656 64.954259 54.307161 55.920105
657 64.352146 54.941513 67.264864
658 65.241976 54.669296 77.366682
659 65.605517 54.702232 88.875332
660 65.629793 54.968889 99.758566
661 64.668679 64.874206 99.453543
662 64.709815 64.417799 10.767904
663 65.151707 65.424996 21.695268
664 64.641617 65.159912 33.086948
665 64.728148 65.092041 44.801108
666 64.954259 64.307162 55.920105
667 64.352146 64.941514 67.264864
668 65.241976 64.669297 77.366682
669 65.605517 64.702233 88.875331
670 65.629793 64.968890 99.758566
671 64.668680 74.874207 99.453543
672 64.709815 74.417799 10.767904
673 65.151706 75.424997 21.695268
674 64.641617 75.159912 33.086948
675 64.728148 75.092042 44.801108
676 64.954259 74.307163 55.920105
677 64.352146 74.941514 67.264864
678 65.241976 74.669297 77.366682
679 65.605517 74.702233 88.875331
680 65.629793 74.968891 99.758566
681 64.668680 84.874207 99.453543
682 64.709815 84.417799 10.767904
683 65.151706 85.424996 21.695268
684 64.641617 85.159912 33.086947
685 64.728148 85.092041 44.801108
686 64.954258 84.307162 55.920105
687 64.352146 84.941514 67.264864
688 65.241976 84.669297 77.366682
689 65.605517 84.702233 88.875331
690 65.629793 84.968890 99.758566
691 64.668680 94.874206 99.453543
692 64.709815 94.417798 10.767905
693 65.151706 95.424995 21.695268
694 64.641617 95.159911 33.086947
695 64.728148 95.092041 44.801108
696 64.954258 94.307161 55.920105
697 64.352147 94.941513 67.264864
698 65.241976 94.669296 77.366682
699 65.605517 94.702232 88.875330
700 65.629793 94.968889 99.758566
701 74.668680 4.874205 99.453543
702 74.709815 4.417797 10.767904
703 75.151706 5.424994 21.695268
704 74.641617 5.159910 33.086947
705 74.728148 5.092039 44.801108
706 74.954258 4.307160 55.920105
707 74.352147 4.941512 67.264864
708 75.241976 4.669295 77.366682
709 75.605518 4.702231 88.875330
710 75.629793 4.968888 99.758566
711 74.668680 14.874204 99.453542
712 74.709815 14.417796 10.767904
713 75.151706 15.424993 21.695268
714 74.641618 15.159909 33.086947
715 74.728147 15.092039 44.801108
716 74.954258 14.307159 55.920105
717 74.352147 14.941511 67.264864
718 75.241976 14.669294 77.366682
719 75.605518 14.702230 88.875331
720 75.629793 14.968887 99.758566
721 74.668680 24.874203 99.453542
722 74.709815 24.417796 10.767904
723 75.151706 25.424993 21.695268
724 74.641618 25.159908 33.086947
725 74.728147 25.092038 44.801108
726 74.954258 24.307159 55.920105
727 74.352146 24.941511 67.264864
728 75.241976 24.669294 77.366682
729 75.605518 24.702230 88.875331
730 75.629794 24.968886 99.758566
731 74.668680 34.874204 99.453542
732 74.709815 34.417796 10.767904
733 75.151706 35.424993 21.695268
734 74.641618 35.159908 33.086948
735 74.728147 35.092038 44.801108
736 74.954258 34.307159 55.920105
737 74.352146 34.941511 67.264864
738 75.241976 34.669294 77.366682
739 75.605517 34.702230 88.875331
740 75.629794 34.968887 99.758566
741 74.668680 44.874204 99.453543
742 74.709815 44.417797 10.767904
743 75.151706 45.424994 21.695269
744 74.641618 45.159909 33.086948
745 74.728148 45.092039 44.801108
746 74.954259 44.307160 55.920105
747 74.352146 44.941512 67.264864
748 75.241976 44.669295 77.366682
749 75.605517 44.702231 88.875332
750 75.629793 44.968888 99.758566
751 74.668680 54.874205 99.453543
752 74.709815 54.417798 10.767904
753 75.151707 55.424995 21.695269
754 74.641617 55.159910 33.086948
755 74.728148 55.092040 44.801108
756 74.954259 54.307161 55.920105
757 74.352146 54.941513 67.264864
758 75.241976 54.669296 77.366682
759 75.605517 54.702232 88.875332
760 75.629793 54.968889 99.758566
761 74.668680 64.874206 99.453543
762 74.709815 64.417799 10.767904
763 75.151707 65.424996 21.695268
764 74.641617 65.159911 33.086948
765 74.728148 65.092041 44.801108
766 74.954259 64.307162 55.920105
767 74.352146 64.941514 67.264864
768 75.241976 64.669297 77.366683
769 75.605518 64.702233 88.875332
770 75.629793 64.968890 99.758566
771 74.668680 74.874207 99.453543
772 74.709815 74.417800 10.767904
773 75.151706 75.424996 21.695268
774 74.641617 75.159912 33.086948
775 74.728149 75.092042 44.801108
776 74.954259 74.307163 55.920105
777 74.352146 74.941514 67.264864
778 75.241976 74.669297 77.366683
779 75.605517 74.702233 88.875331
780 75.629793 74.968891 99.758566
781 74.668680 84.874206 99.453543
782 74.709815 84.417799 10.767904
783 75.151706 85.424996 21.695268
784 74.641617 85.159912 33.086947
785 74.728149 85.092041 44.801108
786 74.954258 84.307162 55.920105
787 74.352146 84.941514 67.264864
788 75.241976 84.669297 77.366683
789 75.605518 84.702233 88.875331
790 75.629793 84.968890 99.758566
791 74.668680 94.874206 99.453543
792 74.709815 94.417799 10.767904
793 75.151706 95.424995 21.695268
794 74.641617 95.159911 33.086947
795 74.728148 95.092041 44.801108
796 74.954258 94.307161 55.920105
797 74.352147 94.941513 67.264864
798 75.241976 94.669296 77.366682
799 75.605517 94.702232 88.875330
800 75.629793 94.968889 99.758566
801 84.668680 4.874204 99.453543
802 84.709815 4.417797 10.767904
803 85.151706 5.424994 21.695268
804 84.641617 5.159909 33.086947
805 84.728147 5.092039 44.801108
806 84.954258 4.307160 55.920105
807 84.352146 4.941512 67.264864
808 85.241976 4.669295 77.366682
809 85.605517 4.702231 88.875330
810 85.629793 4.968888 99.758566
811 84.668680 14.874204 99.453542
812 84.709815 14.417796 10.767904
813 85.151706 15.424993 21.695268
814 84.641617 15.159908 33.086947
815 84.728147 15.092039 44.801108
816 84.954258 14.307159 55.920105
817 84.352146 14.941512 67.264864
818 85.241976 14.669294 77.366682
819 85.605517 14.702230 88.875331
820 85.629793 14.968886 99.758566
